# 出現フレーム, x座標, y座標, 種類, 行動タイプ
100, 1300, 100, 0, 0
120, 1300, 100, 0, 0
140, 1300, 100, 0, 0
160, 1300, 100, 0, 0
180, 1300, 100, 0, 0

180, 1300, 500, 0, 0
200, 1300, 500, 0, 0
220, 1300, 500, 0, 0
240, 1300, 500, 0, 0
260, 1300, 500, 0, 0

420, 1300, 150, 0, 1
450, 1300, 300, 0, 1
420, 1300, 450, 0, 1

500, 1300, 200, 0, 1
550, 1300, 350, 0, 1
520, 1300, 500, 0, 1

620, 1300, 150, 0, 1
650, 1300, 300, 0, 1
620, 1300, 450, 0, 1

700, 1300, 200, 0, 1
750, 1300, 300, 0, 1
720, 1300, 500, 0, 1

770, 1300, 150, 0, 2
790, 1300, 200, 0, 2
810, 1300, 250, 0, 2
830, 1300, 300, 0, 2
850, 1300, 350, 0, 2

900, 1300, 600, 0, 2
910, 1300, 550, 0, 2
930, 1300, 500, 0, 2
950, 1300, 450, 0, 2
960, 1300, 400, 0, 2

1000, 1300, 300, 0, 0
1020, 1300, 300, 0, 0
1040, 1300, 300, 0, 0
1060, 1300, 300, 0, 0
1080, 1300, 300, 0, 0

1200, 1300, 100, 0, 0
1220, 1300, 100, 0, 0
1240, 1300, 100, 0, 0
1260, 1300, 100, 0, 0
1280, 1300, 100, 0, 0

1300, 1300, 500, 0, 0
1320, 1300, 500, 0, 0
1340, 1300, 500, 0, 0
1360, 1300, 500, 0, 0
1380, 1300, 500, 0, 0

1450, 1300, 150, 0, 2
1470, 1300, 200, 0, 2
1490, 1300, 250, 0, 2
1510, 1300, 300, 0, 2
1530, 1300, 350, 0, 2

1510, 1300, 600, 0, 2
1530, 1300, 550, 0, 2
1550, 1300, 500, 0, 2
1570, 1300, 450, 0, 2
1590, 1300, 400, 0, 2

1700, 1300, 300, 1, 0
1850, 1300, 400, 1, 0
2000, 1300, 100, 1, 0
2150, 1300, 500, 1, 0
2300, 1300, 200, 1, 0


2810, 1300, 600, 0, 2
2830, 1300, 550, 0, 2
2850, 1300, 500, 0, 2
2870, 1300, 450, 0, 2
2890, 1300, 400, 0, 2
2910, 1300, 150, 0, 2
2930, 1300, 200, 0, 2
2950, 1300, 250, 0, 2
2970, 1300, 300, 0, 2
2990, 1300, 350, 0, 2


3300, 900, 800, 2, 0
3350, 1000, 800, 2, 0
3400, 800, 800, 2, 0
3450, 1100, 800, 2, 0
3550, 750, 800, 2, 0
3600, 1050, 800, 2, 0

